id,activity
270,sitting
271,lying
272,sitting on the ground
273,on all fours
274,walking
275,walking
276,lying
277,sitting
278,walking
279,on all fours
280,lying
281,lying
282,walking
283,standing up from sitting
284,standing up from lying
285,sitting on the ground
286,lying
287,standing up from lying
288,lying
289,standing up from sitting on the ground
290,standing up from lying
291,walking
292,walking
293,walking
294,sitting
295,lying
296,sitting
297,walking
298,walking
299,sitting
300,walking
301,lying
302,sitting on the ground
303,lying
304,sitting on the ground
305,sitting
306,walking
307,sitting
308,walking
309,lying
310,lying
311,sitting
312,walking
313,walking
314,lying
315,walking
316,walking
317,lying
318,sitting
319,falling
320,lying
321,sitting
322,standing up from lying
323,sitting
324,sitting
325,sitting
326,walking
327,lying
328,sitting
329,lying
330,lying
331,walking
332,sitting
333,lying
334,lying
335,lying
336,walking
337,lying
338,lying
339,lying
340,lying
341,lying
342,lying
343,walking
344,standing up from sitting on the ground
345,lying
346,sitting
347,lying
348,lying
349,lying
350,lying
351,lying
352,sitting
353,sitting
354,standing up from sitting on the ground
355,lying
356,walking
357,walking
358,sitting on the ground
359,walking
360,walking
361,sitting on the ground
362,lying
363,walking
364,sitting on the ground
365,sitting
366,lying
367,lying
368,standing up from lying
369,walking
370,sitting on the ground
371,sitting
372,lying
373,walking
374,lying
375,walking
376,lying
377,lying
378,lying
379,walking
380,lying
381,lying down
382,sitting
383,lying
384,walking
385,standing up from lying
386,sitting on the ground
387,standing up from lying
388,lying
389,lying
390,lying
391,walking
392,sitting
393,sitting
394,walking
395,falling
396,lying down
397,sitting
398,lying
399,walking
400,walking
401,lying
402,lying
403,lying
404,standing up from sitting on the ground
405,lying
406,sitting
407,lying
408,sitting
409,walking
410,standing up from lying
411,sitting on the ground
412,standing up from sitting on the ground
413,standing up from lying
414,lying
415,walking
416,walking
417,falling
418,lying
419,walking
420,standing up from lying
421,sitting
422,sitting
423,walking
424,on all fours
425,sitting on the ground
426,lying
427,lying
428,lying
429,lying
430,lying
431,lying
432,sitting
433,standing up from lying
434,lying
435,lying
436,sitting
437,lying
438,lying
439,sitting
440,sitting
441,sitting
442,standing up from lying
443,lying
444,sitting on the ground
445,on all fours
446,walking
447,walking
448,walking
449,on all fours
450,sitting
451,walking
452,sitting
453,sitting
454,lying
455,lying
456,lying
457,lying
458,walking
459,lying
460,lying
461,standing up from lying
462,sitting
463,on all fours
464,lying
465,lying
466,walking
467,lying
468,walking
469,walking
470,walking
471,lying
472,walking
473,standing up from lying
474,sitting on the ground
475,sitting
476,sitting
477,lying
478,walking
479,walking
480,lying
481,lying
482,sitting
483,lying
484,lying
485,sitting
486,lying
487,lying
488,sitting on the ground
489,sitting
490,lying
491,walking
492,lying
493,lying
494,sitting on the ground
495,lying
496,walking
497,on all fours
498,lying
499,walking
500,lying
501,sitting
502,sitting
503,lying
504,standing up from lying
505,on all fours
506,on all fours
507,lying
508,walking
509,sitting
510,lying
511,lying down
512,lying
513,standing up from lying
514,walking
515,walking
516,on all fours
517,lying
518,lying
519,walking
520,lying
521,sitting
522,lying
523,sitting
524,on all fours
525,standing up from lying
526,lying
527,lying
528,walking
529,walking
530,lying
531,lying
532,lying
533,sitting
534,sitting
535,walking
536,sitting
537,lying
538,walking
539,walking
540,lying
541,sitting
542,lying
543,lying
544,lying down
545,lying
546,walking
547,lying
548,sitting
549,lying
550,sitting
551,sitting
552,lying
553,lying
554,walking
555,standing up from lying
556,lying
557,lying
558,walking
559,sitting
560,sitting on the ground
561,lying
562,lying
563,lying
564,lying
565,lying
566,lying
567,lying
568,walking
569,lying
570,walking
571,lying down
572,walking
573,lying
574,sitting
575,sitting
576,walking
577,lying
578,falling
579,lying
580,walking
581,sitting
582,sitting
583,standing up from lying
584,sitting on the ground
585,standing up from lying
586,sitting
587,standing up from lying
588,standing up from lying
589,walking
590,sitting on the ground
591,standing up from lying
592,lying
593,sitting on the ground
594,walking
595,lying
596,standing up from lying
597,sitting on the ground
598,standing up from lying
599,sitting on the ground
600,standing up from lying
601,walking
602,walking
603,lying
604,lying
605,lying
606,lying
607,sitting
608,lying
609,lying
610,walking
611,lying
612,sitting on the ground
613,lying
614,walking
615,lying
616,lying
617,walking
618,walking
619,lying
620,walking
621,walking
622,lying
623,standing up from lying
624,walking
625,lying
626,lying
627,lying
628,sitting on the ground
629,standing up from sitting on the ground
630,sitting on the ground
631,lying
632,walking
633,standing up from sitting on the ground
634,sitting
635,on all fours
636,lying
637,sitting on the ground
638,sitting
639,lying
640,sitting
641,sitting
642,standing up from lying
643,falling
644,walking
645,walking
646,lying
647,lying
648,lying
649,lying
650,sitting on the ground
651,standing up from lying
652,standing up from lying
653,standing up from lying
654,lying
655,walking
656,lying
657,sitting
658,lying
659,standing up from lying
660,sitting on the ground
661,sitting on the ground
662,lying
663,lying
664,lying
665,lying
666,lying
667,lying down
668,sitting
669,lying
670,walking
671,standing up from lying
672,walking
673,standing up from lying
674,sitting
675,lying
676,lying down
677,standing up from lying
678,lying
679,standing up from lying
680,lying
681,lying
682,lying
683,walking
684,sitting
685,lying
686,lying
687,lying
688,standing up from lying
689,walking
690,sitting
691,sitting
692,lying
693,lying
694,sitting on the ground
695,walking
696,sitting on the ground
697,walking
698,walking
699,lying
700,lying
701,lying
702,lying
703,sitting
704,lying
705,on all fours
706,lying
707,standing up from sitting on the ground
708,sitting on the ground
709,lying
710,lying
711,walking
712,lying
713,sitting
714,lying
715,sitting on the ground
716,walking
717,walking
718,lying
719,sitting
720,on all fours
721,standing up from lying
722,standing up from lying
723,walking
724,lying
725,lying
726,lying
727,lying
728,lying
729,walking
730,walking
731,lying
732,lying down
733,standing up from sitting
734,sitting
735,sitting on the ground
736,lying
737,sitting on the ground
738,sitting on the ground
739,lying
740,walking
741,lying
742,lying
743,lying
744,lying
745,standing up from lying
746,sitting
747,on all fours
748,walking
749,lying
750,lying
751,lying down
752,lying
753,on all fours
754,sitting
755,lying
756,sitting
757,lying
758,sitting
759,walking
760,lying
761,walking
762,lying
763,standing up from lying
764,lying
765,on all fours
766,lying
767,walking
768,on all fours
769,sitting
770,lying
771,standing up from lying
772,sitting
773,lying
774,sitting on the ground
775,lying
776,lying
777,on all fours
778,lying
779,standing up from sitting on the ground
780,walking
781,sitting
782,standing up from sitting on the ground
783,sitting
784,walking
785,lying
786,lying
787,standing up from lying
788,lying
789,lying
790,lying
791,walking
792,sitting
793,lying
794,lying
795,sitting
796,walking
797,lying
798,lying
799,sitting
800,walking
801,lying
802,sitting
803,lying
804,lying
805,standing up from lying
806,standing up from sitting on the ground
807,lying
808,sitting
809,sitting
810,standing up from lying
811,lying
812,sitting
813,sitting on the ground
814,walking
815,sitting
816,walking
817,lying
818,lying
819,standing up from lying
820,walking
821,standing up from lying
822,sitting
823,lying
824,lying
825,lying
826,sitting
827,lying
828,walking
829,sitting
830,sitting on the ground
831,lying
832,lying
833,sitting
834,lying
835,sitting
836,lying
837,sitting
838,standing up from lying
839,lying
840,standing up from lying
841,lying
842,lying
843,walking
844,sitting
845,lying
846,sitting
847,standing up from lying
848,lying
849,walking
850,standing up from lying
851,lying
852,walking
853,lying
854,lying
855,walking
856,falling
857,lying
858,walking
859,sitting
860,sitting
861,sitting on the ground
862,walking
863,sitting
864,walking
865,sitting
866,lying
867,walking
868,walking
869,walking
870,lying down
871,walking
872,lying
873,sitting
874,walking
875,sitting
876,lying
877,standing up from lying
878,walking
879,sitting
880,lying
881,standing up from lying
882,standing up from lying
883,lying
884,walking
885,lying
886,lying
887,lying
888,lying
889,walking
890,sitting
891,sitting on the ground
892,standing up from sitting on the ground
893,sitting on the ground
894,walking
895,standing up from sitting on the ground
896,lying
897,lying
898,sitting
899,lying
900,lying
901,standing up from lying
902,lying
903,lying
904,standing up from lying
905,sitting down
906,sitting on the ground
907,walking
908,standing up from sitting on the ground
909,walking
910,lying
911,lying
912,on all fours
913,lying
914,sitting on the ground
915,walking
916,lying
917,walking
918,lying
919,on all fours
920,lying
921,walking
922,sitting on the ground
923,walking
924,walking
925,lying
926,lying
927,lying
928,lying
929,lying
930,walking
931,lying
932,lying
933,walking
934,walking
935,lying
936,standing up from lying
937,walking
938,sitting
939,sitting
940,lying
941,walking
942,lying
943,walking
944,sitting
945,walking
946,walking
947,sitting on the ground
948,sitting
949,lying
950,walking
951,sitting
952,sitting on the ground
953,sitting on the ground
954,lying
955,sitting
956,lying
957,walking
958,walking
959,sitting
960,lying
961,standing up from lying
962,lying
963,lying
964,lying
965,lying
966,lying
967,lying
968,lying
969,walking
970,lying
971,sitting on the ground
972,sitting on the ground
973,sitting
974,walking
975,lying
976,on all fours
977,lying
978,sitting on the ground
979,lying
980,lying
981,lying
982,lying down
983,lying
984,lying
985,walking
986,walking
987,sitting on the ground
988,sitting
989,walking
990,walking
991,walking
992,sitting
993,lying
994,standing up from lying
995,lying
996,sitting on the ground
997,standing up from lying
998,walking
999,sitting on the ground
1000,walking
1001,standing up from lying
1002,lying
1003,lying
1004,walking
1005,standing up from lying
1006,lying
1007,lying
1008,walking
1009,lying
1010,walking
1011,sitting
1012,walking
1013,lying
1014,lying
1015,sitting on the ground
1016,lying
1017,sitting
1018,sitting
1019,lying down
1020,walking
1021,lying
1022,lying
1023,sitting on the ground
1024,on all fours
1025,walking
1026,standing up from lying
1027,lying
1028,sitting on the ground
1029,lying
1030,lying
1031,lying
1032,lying
1033,sitting
1034,walking
1035,sitting on the ground
1036,lying down
1037,standing up from lying
1038,lying
1039,lying
1040,sitting
1041,lying
1042,walking
1043,lying
1044,walking
1045,walking
1046,lying
1047,lying
1048,lying
1049,walking
1050,standing up from lying
1051,sitting on the ground
1052,lying
1053,lying
1054,walking
1055,lying
1056,lying
1057,walking
1058,lying
1059,lying
1060,sitting on the ground
1061,falling
1062,sitting
1063,sitting
1064,sitting
1065,standing up from lying
1066,lying
1067,standing up from sitting
1068,walking
1069,lying
1070,lying
1071,walking
1072,standing up from lying
1073,walking
1074,lying
1075,standing up from lying
1076,walking
1077,sitting
1078,lying
1079,lying
1080,walking
1081,standing up from lying
1082,walking
1083,lying
1084,sitting
1085,sitting
1086,walking
1087,lying
1088,lying
1089,sitting on the ground
1090,lying down
1091,walking
1092,standing up from lying
1093,lying
1094,lying
1095,lying
1096,walking
1097,lying
1098,walking
1099,sitting
1100,lying
1101,sitting
1102,falling
1103,sitting
1104,lying
1105,lying
1106,lying
1107,sitting
1108,lying
1109,walking
1110,lying
1111,sitting
1112,lying
1113,lying
1114,sitting
1115,lying
1116,on all fours
1117,sitting
1118,sitting
1119,lying
1120,lying
1121,standing up from lying
1122,sitting
1123,lying
1124,sitting
1125,walking
1126,walking
1127,lying
1128,lying
1129,lying
1130,sitting
1131,standing up from lying
1132,on all fours
1133,walking
1134,on all fours
1135,lying
1136,walking
1137,sitting on the ground
1138,standing up from lying
1139,sitting
1140,lying
1141,sitting on the ground
1142,lying
1143,sitting
1144,lying
1145,sitting
1146,sitting on the ground
1147,walking
1148,sitting
1149,lying
1150,lying
1151,walking
1152,sitting
1153,lying
1154,lying
1155,lying
1156,walking
1157,sitting
1158,lying
1159,lying
1160,lying
1161,lying
1162,standing up from lying
1163,walking
1164,walking
1165,lying
1166,lying
1167,walking
1168,sitting
1169,lying
1170,walking
1171,lying
1172,sitting
1173,sitting
1174,sitting
1175,walking
1176,lying
1177,walking
1178,walking
1179,walking
1180,lying
1181,sitting
1182,lying
1183,lying
1184,sitting on the ground
1185,lying
1186,lying
1187,walking
1188,lying
1189,walking
1190,walking
1191,walking
1192,standing up from lying
1193,walking
1194,walking
1195,lying
1196,sitting
1197,sitting
1198,lying
1199,sitting down
1200,sitting on the ground
1201,sitting on the ground
1202,sitting on the ground
1203,sitting
1204,lying
1205,lying
1206,walking
1207,lying
1208,lying
1209,lying
1210,sitting
1211,sitting
1212,lying
1213,standing up from lying
1214,sitting
1215,walking
1216,lying
1217,lying
1218,lying
1219,sitting
1220,sitting on the ground
1221,walking
1222,standing up from lying
1223,sitting on the ground
1224,lying
1225,sitting
1226,lying
1227,walking
1228,standing up from lying
1229,sitting
1230,lying
1231,lying
1232,lying
1233,standing up from lying
1234,lying down
1235,lying down
1236,walking
1237,sitting on the ground
1238,lying
1239,lying
1240,lying
1241,sitting
1242,standing up from lying
1243,walking
1244,on all fours
1245,sitting
1246,sitting
1247,walking
1248,lying
1249,on all fours
1250,standing up from lying
1251,sitting on the ground
1252,standing up from lying
1253,lying
1254,lying
1255,lying
1256,on all fours
1257,walking
1258,walking
1259,sitting on the ground
1260,lying
1261,walking
1262,lying
1263,standing up from lying
1264,lying
1265,lying
1266,sitting on the ground
1267,lying
1268,walking
1269,lying
1270,walking
1271,lying down
1272,lying
1273,walking
1274,lying
1275,lying
1276,lying
1277,lying down
1278,sitting
1279,standing up from lying
1280,walking
1281,walking
1282,lying
1283,sitting
1284,lying
1285,sitting
1286,sitting
1287,lying
1288,lying
1289,lying
1290,lying
1291,lying
1292,sitting
1293,sitting
1294,sitting on the ground
1295,lying
1296,walking
1297,lying
1298,lying
1299,walking
1300,sitting on the ground
1301,sitting
1302,lying
1303,lying
1304,sitting on the ground
1305,sitting on the ground
1306,walking
1307,lying
1308,lying
1309,sitting on the ground
1310,walking
1311,lying
1312,sitting
1313,standing up from lying
1314,standing up from lying
1315,walking
1316,lying
1317,lying
1318,walking
1319,sitting
1320,walking
1321,standing up from lying
1322,lying
1323,on all fours
1324,standing up from lying
1325,lying
1326,sitting
1327,sitting
1328,standing up from lying
1329,lying
1330,lying
1331,lying
1332,walking
1333,lying
1334,lying
1335,lying
1336,lying
1337,standing up from lying
1338,lying
1339,walking
1340,lying
1341,walking
1342,standing up from lying
1343,lying
1344,lying
1345,lying
1346,on all fours
1347,standing up from sitting
1348,lying
1349,lying
1350,lying
1351,walking
1352,lying
1353,standing up from lying
1354,standing up from lying
1355,on all fours
1356,sitting
1357,lying
1358,sitting on the ground
1359,lying
1360,sitting on the ground
1361,walking
1362,sitting on the ground
1363,lying
1364,standing up from lying
1365,walking
1366,lying
1367,walking
1368,lying
1369,lying
1370,lying
1371,standing up from lying
1372,sitting
1373,sitting
1374,walking
1375,lying
1376,standing up from lying
1377,standing up from lying
1378,standing up from lying
1379,sitting
1380,sitting
1381,sitting on the ground
1382,lying down
1383,standing up from lying
1384,walking
1385,lying
1386,sitting
1387,lying
1388,walking
1389,sitting
1390,walking
1391,lying
1392,standing up from lying
1393,lying
1394,sitting on the ground
1395,lying
1396,walking
1397,walking
1398,standing up from lying
1399,lying
1400,walking
1401,standing up from lying
1402,walking
1403,lying
1404,lying
1405,sitting on the ground
1406,lying
1407,standing up from lying
1408,lying
1409,lying
1410,sitting on the ground
1411,walking
1412,lying
1413,on all fours
1414,sitting
1415,walking
1416,sitting on the ground
1417,lying
1418,walking
1419,sitting
1420,sitting
1421,standing up from lying
1422,lying
1423,lying
1424,walking
1425,lying down
1426,sitting
1427,lying
1428,lying
1429,lying
1430,walking
1431,standing up from lying
1432,walking
1433,lying
1434,sitting
1435,sitting
1436,standing up from lying
1437,standing up from sitting on the ground
1438,lying
1439,lying
1440,walking
1441,walking
1442,sitting
1443,walking
1444,lying
1445,sitting
1446,lying
1447,lying
1448,lying
1449,standing up from lying
1450,sitting
1451,walking
1452,lying
1453,walking
1454,standing up from lying
1455,lying
1456,walking
1457,lying
1458,walking
1459,walking
1460,sitting on the ground
1461,lying
1462,lying
1463,walking
1464,sitting on the ground
1465,sitting
1466,sitting
1467,standing up from lying
1468,sitting
1469,lying
1470,walking
1471,standing up from lying
1472,walking
1473,standing up from lying
1474,walking
1475,lying
1476,lying
1477,lying
1478,lying
1479,lying
1480,lying
1481,walking
1482,lying
1483,lying
1484,walking
1485,walking
1486,lying
1487,sitting on the ground
1488,standing up from lying
1489,lying
1490,walking
1491,lying
1492,sitting
1493,standing up from lying
1494,lying
1495,lying
1496,walking
1497,lying
1498,walking
1499,sitting
1500,standing up from lying
1501,sitting
1502,walking
1503,sitting
1504,sitting
1505,lying
1506,sitting on the ground
1507,sitting on the ground
1508,walking
1509,lying
1510,standing up from lying
1511,sitting
1512,lying
1513,sitting
1514,walking
1515,sitting
1516,sitting on the ground
1517,lying
1518,lying
1519,walking
1520,walking
1521,sitting
1522,walking
1523,sitting on the ground
1524,lying down
1525,lying
1526,lying
1527,standing up from sitting on the ground
1528,sitting
1529,sitting
1530,lying
1531,lying
1532,lying
1533,standing up from lying
1534,standing up from lying
1535,walking
1536,standing up from lying
1537,walking
1538,walking
1539,standing up from lying
1540,walking
1541,sitting
1542,standing up from lying
1543,walking
1544,sitting
1545,sitting
1546,sitting
1547,sitting
1548,sitting
1549,sitting
1550,lying
1551,lying
1552,lying
1553,walking
1554,walking
1555,sitting
1556,lying
1557,lying
1558,lying
1559,walking
1560,sitting
1561,walking
1562,sitting on the ground
1563,lying
1564,walking
1565,lying down
1566,lying
1567,lying down
1568,lying
1569,standing up from lying
1570,lying
1571,sitting
1572,sitting
1573,lying
1574,lying
1575,sitting
1576,lying
1577,sitting on the ground
1578,walking
1579,sitting
1580,lying
1581,lying
1582,lying
1583,sitting
1584,walking
1585,lying
1586,lying
1587,walking
1588,falling
1589,walking
1590,walking
1591,walking
1592,walking
1593,walking
1594,sitting
1595,lying
1596,standing up from sitting
1597,sitting on the ground
1598,sitting
1599,lying
1600,lying
1601,lying down
1602,lying
1603,sitting
1604,lying
1605,lying
1606,lying
1607,walking
1608,lying
1609,standing up from sitting on the ground
1610,sitting on the ground
1611,walking
1612,lying
1613,lying
1614,walking
1615,standing up from lying
1616,lying
1617,sitting
1618,lying
1619,walking
1620,walking
1621,standing up from lying
1622,sitting
1623,sitting on the ground
1624,sitting on the ground
1625,lying
1626,sitting on the ground
1627,sitting
1628,sitting
1629,sitting
1630,lying
1631,standing up from lying
1632,lying
1633,lying
1634,sitting on the ground
1635,standing up from lying
1636,lying
1637,standing up from sitting on the ground
1638,sitting
1639,lying
1640,sitting
1641,standing up from lying
1642,lying
1643,walking
1644,lying
1645,on all fours
1646,standing up from lying
1647,lying
1648,sitting on the ground
1649,walking
1650,walking
1651,lying
1652,sitting
1653,lying
1654,lying
1655,walking
1656,sitting
1657,lying
1658,lying
1659,sitting
1660,walking
1661,lying
1662,sitting
1663,standing up from lying
1664,lying
1665,lying
1666,lying
1667,standing up from lying
1668,on all fours
1669,lying
1670,sitting
1671,walking
1672,walking
1673,lying
1674,walking
1675,lying down
1676,lying
1677,walking
1678,walking
1679,walking
1680,lying
1681,lying
1682,walking
1683,lying
1684,lying
1685,sitting
1686,lying
1687,standing up from lying
1688,sitting on the ground
1689,lying
1690,sitting
1691,sitting on the ground
1692,walking
1693,lying
1694,lying down
1695,lying
1696,on all fours
1697,on all fours
1698,lying
1699,sitting on the ground
1700,lying
1701,on all fours
1702,lying
1703,lying
1704,lying down
1705,on all fours
1706,lying
1707,sitting
1708,standing up from lying
1709,lying
1710,sitting
1711,lying
1712,standing up from lying
1713,lying
1714,walking
1715,standing up from lying
1716,sitting on the ground
1717,lying
1718,walking
1719,lying
1720,on all fours
1721,lying down
1722,walking
1723,lying
1724,lying down
1725,lying
1726,sitting
1727,lying
1728,lying
1729,sitting
1730,walking
1731,walking
1732,lying
1733,standing up from lying
1734,standing up from lying
1735,lying
1736,lying
1737,sitting
1738,walking
1739,lying
1740,sitting on the ground
1741,walking
1742,walking
1743,lying
1744,sitting down
1745,lying
1746,lying
1747,walking
1748,on all fours
1749,walking
1750,sitting on the ground
1751,sitting on the ground
1752,lying
1753,walking
1754,sitting
1755,lying
1756,lying
1757,sitting on the ground
1758,walking
1759,lying
1760,lying
1761,sitting
1762,lying
1763,sitting on the ground
1764,walking
1765,walking
1766,lying
1767,lying
1768,walking
1769,standing up from lying
1770,walking
1771,walking
1772,walking
1773,walking
1774,lying
1775,sitting
1776,walking
1777,lying
1778,lying
1779,lying
1780,sitting
1781,sitting
1782,sitting
1783,lying down
1784,sitting
1785,lying
1786,standing up from lying
1787,walking
1788,standing up from lying
1789,sitting on the ground
1790,standing up from lying
1791,sitting on the ground
1792,lying down
1793,lying
1794,walking
1795,walking
1796,walking
1797,standing up from lying
1798,walking
1799,lying
1800,sitting on the ground
1801,lying
1802,lying
1803,sitting
1804,lying
1805,lying down
1806,lying
1807,sitting on the ground
1808,walking
1809,lying
1810,lying
1811,standing up from lying
1812,sitting
1813,walking
1814,lying
1815,lying
1816,standing up from lying
1817,standing up from lying
1818,lying
1819,lying
1820,walking
1821,falling
1822,sitting on the ground
1823,walking
1824,on all fours
1825,sitting on the ground
1826,lying
1827,sitting
1828,sitting
1829,sitting
1830,lying
1831,walking
1832,standing up from lying
1833,lying
1834,standing up from lying
1835,lying
1836,walking
1837,lying
1838,standing up from lying
1839,walking
1840,walking
1841,walking
1842,lying
1843,lying down
1844,walking
1845,lying
1846,lying
1847,sitting on the ground
1848,sitting on the ground
1849,walking
1850,lying
1851,lying
1852,lying
1853,sitting
1854,lying
1855,sitting
1856,standing up from lying
1857,sitting
1858,sitting on the ground
1859,walking
1860,walking
1861,sitting on the ground
1862,lying
1863,sitting
1864,sitting
1865,sitting
1866,lying
1867,lying
1868,lying
1869,lying
1870,lying
1871,lying
1872,walking
1873,walking
1874,standing up from lying
1875,lying
1876,sitting on the ground
1877,standing up from lying
1878,walking
1879,walking
1880,lying
1881,walking
1882,on all fours
1883,sitting on the ground
1884,lying
1885,lying
1886,sitting
1887,walking
1888,sitting
1889,walking
1890,standing up from lying
1891,lying
1892,standing up from lying
1893,standing up from lying
1894,on all fours
1895,lying down
1896,standing up from lying
1897,walking
1898,lying
1899,sitting
1900,walking
1901,lying
1902,lying
1903,lying
1904,lying
1905,standing up from lying
1906,standing up from lying
1907,walking
1908,walking
1909,walking
1910,lying
1911,walking
1912,standing up from sitting on the ground
1913,lying
1914,standing up from lying
1915,sitting
1916,walking
1917,lying
1918,lying
1919,standing up from lying
1920,lying
1921,lying
1922,lying
1923,lying
1924,standing up from lying
1925,standing up from lying
1926,lying
1927,walking
1928,lying
1929,on all fours
1930,walking
1931,walking
1932,sitting
1933,standing up from lying
1934,sitting on the ground
1935,lying
1936,lying
1937,lying
1938,lying
1939,sitting on the ground
1940,lying down
1941,lying
1942,walking
1943,walking
1944,standing up from lying
1945,sitting on the ground
1946,walking
1947,walking
1948,sitting
1949,sitting
1950,lying
1951,walking
1952,walking
1953,sitting
1954,sitting
1955,sitting
1956,standing up from sitting on the ground
1957,lying
1958,lying
1959,lying
1960,lying
1961,lying
1962,standing up from lying
1963,walking
1964,lying
1965,sitting on the ground
1966,walking
1967,sitting
1968,sitting on the ground
1969,lying
1970,walking
1971,sitting
1972,walking
1973,walking
1974,sitting
1975,sitting on the ground
1976,lying
1977,lying
1978,on all fours
1979,walking
1980,walking
1981,walking
1982,standing up from sitting on the ground
1983,sitting
1984,sitting
1985,lying
1986,walking
1987,sitting
1988,walking
1989,sitting
1990,sitting on the ground
1991,lying
1992,lying
1993,walking
1994,lying
1995,lying
1996,lying
1997,lying
1998,walking
1999,falling
2000,sitting
2001,lying
2002,lying
2003,sitting
2004,lying
2005,sitting on the ground
2006,walking
2007,sitting
2008,sitting on the ground
2009,standing up from lying
2010,walking
2011,standing up from lying
2012,standing up from lying
2013,lying
2014,walking
2015,sitting on the ground
2016,standing up from lying
2017,lying
2018,sitting
2019,walking
2020,sitting down
2021,standing up from lying
2022,standing up from lying
2023,standing up from lying
2024,walking
2025,standing up from lying
2026,sitting
2027,walking
2028,sitting on the ground
2029,lying
2030,lying
2031,sitting
2032,sitting
2033,walking
2034,standing up from lying
2035,on all fours
2036,lying
2037,standing up from lying
2038,lying
2039,sitting on the ground
2040,sitting
2041,sitting
2042,lying
2043,lying
2044,walking
2045,walking
2046,sitting on the ground
2047,lying
2048,lying
2049,sitting
2050,lying
2051,sitting on the ground
2052,lying
2053,sitting
2054,lying
2055,lying
2056,walking
2057,walking
2058,lying
2059,lying
2060,lying
2061,sitting
2062,lying
2063,lying
2064,walking
2065,lying
2066,lying
2067,sitting
2068,standing up from lying
2069,walking
2070,sitting
2071,sitting
2072,walking
2073,lying
2074,on all fours
2075,walking
2076,sitting on the ground
2077,sitting
2078,walking
2079,walking
2080,walking
2081,sitting on the ground
2082,lying
2083,sitting
2084,standing up from lying
2085,sitting
2086,sitting on the ground
2087,lying
2088,walking
2089,sitting on the ground
2090,walking
2091,walking
2092,sitting
2093,walking
2094,lying
2095,standing up from lying
2096,lying
2097,standing up from lying
2098,walking
