index,title,institute,tag,description,
10,ช่องปากและฟันตรวจเองได้ง่ายนิดเดียว ฉบับทันตแพทย์สอน | Practicing for basic oral and teeth examination: By dentist,มหาวิทยาลัยเชียงใหม่,['สุขภาพและการแพทย์'],,
11,การหลอมรวมเทคโนโลยีสมัยใหม่ | Fusion of modern technology,มหาวิทยาลัยศรีนครินทรวิโรฒ,['คอมพิวเตอร์และเทคโนโลยี'],ความเป็นมาและวิวัฒนาการของสื่อใหม่ ความสำคัญของสื่อใหม่ การหลอมรวมสื่อ เทคโนโลยีและนวัตกรรม อินเตอร์เน็ต เครือข่ายสังคมออนไลน์ กฎหมายที่เกี่ยวข้องกับสื่อใหม่ ผลกระทบของสื่อใหม่ และการประยุกต์ใช้สื่อใหม่ในงานประเภทต่างๆ การประยุกต์ใช้ระบบสารสนเทศ นวัตกรรมในระบบการสื่อสารสมัยใหม่ เทคโนโลยีคอมพิวเตอร์ ระบบอินเตอร์เน็ต โปรแกรมสำเร็จรูปเพื่อการสื่อสารบนอินเตอร์เน็ต การฝึกปฏิบัติการใช้ระบบการสื่อสารสมัยใหม่ การเลือกใช้และกลยุทธ์การใช้สื่อใหม่ เทคนิคการนำเสนอผ่านสื่อใหม่,
12,พลังงานทดแทน | Renewable Energy,มหาวิทยาลัยนเรศวร,['เกษตรและสิ่งแวดล้อม'],,
13,การเป็นผู้ดูแลผู้สูงอายุ | Caregivers techniques,มหาวิทยาลัยมหิดล,['สุขภาพและการแพทย์'],การเป็นผู้ดูแลผู้สูงอายุ (Caregivers techniques),
14,การคิดเชิงระบบ | System Thinking,มหาวิทยาลัยบูรพา,['ทักษะชีวิตและการพัฒนาตนเอง'],ความหมาย หลักการ คุณค่า แนวคิด ที่มา และธรรมชาติของการคิดเชิงระบบ การคิดเชิงระบบกับองค์กรการเรียนรู้ การคิดเชิงระบบกับการแก้ปัญหา การนำหลักการคิดเชิงระบบไปใช้กับสาขาวิชาต่างๆ ประยุกต์การคิดเชิงระบบกับการแก้ปัญหาลักษณะต่างๆ,
15,การเรียนร่วมศตวรรษที่ 21 | Start up Inclusive Education in 21st Century,มหาวิทยาลัยนเรศวร,['การศึกษาและการฝึกอบรม'],ปรัชญา แนวคิด และทฤษฎีเกี่ยวกับการจัดการศึกษาแบบเรียนร่วมในศตวรรษที่ 21 สิทธิตามกฎหมาย สำหรับผู้มีความต้องการพิเศษในการศึกษา และอยู่ร่วมกับบุคคลอื่นในสังคม การเตรียมนักเรียน ครู โรงเรียน และผู้ปกครองสำหรับการศึกษาแบบเรียนร่วม รูปแบบและวิธีการจัดการศึกษาแบบเรียนร่วมที่เหมาะสมกับสังคมไทย,
16,การบอกทิศทางระหว่างเดินเรือ | Keep Moving,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,['ภาษาและการสื่อสาร'],"The Learners identify ship’s geographical positions/locations while onshore, ask and give directions of locations in the ship, ask and give directions to the ship’s destination, and reporting wind directions while the ship is docked/anchored onshore.

วิชานี้ผู้เรียนจะเรียนรู้การระบุตำแหน่งหรือที่ตั้งทางภูมิศาสตร์ของเรือขณะที่เรือเทียบท่าบนชายฝั่ง ถามและบอกทิศทางของตำแหน่งในเรือ ถามและบอกทิศทางจุดหมายปลายทางของเรือ และรายงานทิศทางลมขณะที่เรือจอดเทียบท่าหรือทอดสมอ",
17,การวางแผนและออกแบบการขนส่ง | Transportation Planning and Design,มหาวิทยาลัยหอการค้าไทย,['วิศวกรรมและสถาปัตยกรรม'],การวางแผนและออกแบบการขนส่งนี้ จะแนะนำให้ผู้เรียนทราบถึงรูปแบบของการขนส่ง ข้อดี/ข้อเสียของการขนส่งในรูปแบบต่างๆ การวิเคราะห์ปัญหา การวางแผนและการออกแบบโครงข่ายการขนส่ง/การกระจายสินค้า การกำหนดเส้นทางในการขนส่ง การประยุกต์ใช้โปรแกรมสำเร็จรูปเพื่อวางแผนและจัดเส้นทางการขนส่ง,
18,ปลาส้มไร้ก้าง | Boneless Plasom,สถาบันวิทยาลัยชุมชน,['อาหารและโภชนาการ'],ยินดีต้อนรับเข้าสู่หลักสูตรการทำปลาส้มไร้ก้าง,
19,กิจกรรมเคลื่อนไหวเชิงสร้างสรรค์สําหรับเด็กปฐมวัย,มหาวิทยาลัยศิลปากร,['การศึกษาและการฝึกอบรม'],แนวคิดเบื้องต้นในการจัดกิจกรรมเคลื่อนไหวเชิงสร้างสรรค์สำหรับเด็กปฐมวัย แนวทางการจัดกิจกรรมเคลื่อนไหวเชิงสร้างสรรค์สำหรับเด็กปฐมวัย ลักษณะกิจกรรมเคลื่อนไหวเชิงสร้างสรรค์ที่เหมาะสมกับพัฒนาการของเด็กปฐมวัย และการประเมินผลกิจกรรมเคลื่อนไหวเชิงสร้างสรรค์สำหรับเด็กปฐมวัย,
20,บาติก 1 | BATIK 1,มหาวิทยาลัยสงขลานครินทร์,['ศิลปวัฒนธรรมและศาสนา'],"บาติก 1 ( BATIK 1) : ทฤษฎีการทำผ้าบาติก
วัสดุ อุปกรณ์ วิธีการ ขั้นตอน กระบวนการทำผ้าบาติกในรูปแบบต่าง ๆ",
21,การดูแลผู้ที่ได้รับเคมีบำบัด | Caring for Person Receiving Chemotherapy,มหาวิทยาลัยนเรศวร,['สุขภาพและการแพทย์'],หลักการรักษามะเร็งด้วยเคมีบำบัด การดูแลและการปฏิบัติตัวก่อนได้รับเคมีบำบัด ขณะได้รับการรักษาด้วยเคมีบำบัด การดูแลภายหลังการรักษาเพื่อจัดการกับผลข้างเคียงของเคมีบำบัด และการดูแลด้านร่างกาย จิตใจ สังคม จิตวิญญาณ อย่างต่อเนื่องระหว่างกระบวนการรักษาด้วยเคมีบำบัด,
22,การดูแลบุคคลที่มีภาวะสมองเสื่อม | Caring for person with dementia,มหาวิทยาลัยสงขลานครินทร์,['สุขภาพและการแพทย์'],,
23,การผลิตสื่อโฆษณาที่ปลอดภัยและสร้างสรรค์ : โฆษณาสร้างสรรค์ | Ethical and Creative Online Advertising : Creative Advertising,สมาคมโฆษณาแห่งประเทศไทย,['ธุรกิจและการบริหารจัดการ'],,
24,บริหารจัดการธุรกิจอย่างมืออาชีพด้วย Excel (Business Management Professional using Excel),มหาวิทยาลัยราชภัฏนครราชสีมา,['ธุรกิจและการบริหารจัดการ'],การบริหารจัดการองค์กรธุรกิจอย่างมืออาชีพด้วย Excel เป็นเรื่องที่ช่วยให้สามารถขับเคลื่อนองค์กรให้ประสบความสำเร็จได้อย่างง่ายและไม่ยุ่งยากอย่างที่คิด ขอให้มีความรู้ ความเข้าใจพื้นฐาน ก็สามารถนำไปประยุกต์ใช้งานได้ทันที,
25,จริยธรรมและวิชาชีพสื่อมวลชน | Ethic and Mass Media Profession,สถานีโทรทัศน์ไทยพีบีเอส (Thai PBS),['ทักษะชีวิตและการพัฒนาตนเอง'],ศึกษาความหมายของจริยธรรม จริยธรรมสื่อ และจริยธรรมสื่อสังคมออนไลน์ บทบาทหน้าที่ของสื่อมวลชน และปัญหาของการการละเมิดจริยธรรม กรณีศึกษาเกี่ยวกับการละเมิดในแบบต่าง ๆ,
26,เทคโนโลยี SMART GRID | Smart Grid,มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,['คอมพิวเตอร์และเทคโนโลยี'],ระบบไฟฟ้าอัจฉริยะเบื้องต้น แบบจำลองทางคณิตศาสตร์ของระบบไฟฟ้าอัจฉริยะ แบบจำลองทางคณิตศาสตร์ของสายส่งอัจฉริยะ การวิเคราะห์การไหลของกำลังไฟฟ้าอัจฉริยะ การจ่ายกำลังไฟฟ้าอัจฉริยะอย่างเหมาะสม การวิเคราะห์การลัดวงจรในระบบไฟฟ้าอัจฉริยะ และการวิเคราะห์เสถียรภาพระบบไฟฟ้าอัจฉริยะ,
27,การเตรียมสอบประกาศนียบัตร MOS : MS PowerPoint 2013 | MOS Certificate : MS PowerPoint 2013,มหาวิทยาลัยราชภัฏภูเก็ต,['คอมพิวเตอร์และเทคโนโลยี'],,
28,การจัดการการท่องเที่ยวและการบริการในยุค 4.0 | Tourism and Hospitality Management 4.0,มหาวิทยาลัยมหิดล,['ธุรกิจและการบริหารจัดการ'],,
29,การบริหารค่าตอบแทน | Compensation Management and Benefit,สถาบันการจัดการปัญญาภิวัฒน์,['ธุรกิจและการบริหารจัดการ'],ทฤษฎีและแนวคิดที่เกี่ยวข้องกับค่าตอบแทน ความหมายของดุลยภาพภายในองค์การ ดุลยภาพภายนอกองค์การ และดุลยภาพระหว่างบุคคลในการบริหารค่าตอบแทน วิธีการวิเคราะห์งาน การจัดทำใบกำหนดหน้าที่งาน การประเมินค่างาน และการจัดโครงสร้างระดับตำแหน่งงาน การคำนวณค่ากระบอกค่าจ้างและการจัดทำโครงสร้างเงินเดือน การกำหนดค่าจ้างคนเข้าใหม่ การคิดคำนวณการขึ้นเงินเดือน และวิธีการปรับเงินเดือนเพื่อไม่ให้เงินเดือนคนเข้าใหม่แซงเงินเดือนคนเก่าที่มีอยู่ในองค์การ วิธีการการจัดสวัสดิการให้แก่พนักงาน และอธิบายวิธีการชี้แจงระบบการให้ค่าตอบแทนขององค์การแก่พนักงาน และถามตอบไขข้อข้องใจด้านการบริหารค่าตอบแทน,
30,การสอนแบบ Active Learning ในห้องเรียน ที่สนุกและใช้งานได้ทันที | Fun and Practical Active Learning in Classrooms,มหาวิทยาลัยเชียงใหม่,['การศึกษาและการฝึกอบรม'],การจัดการเรียนการสอนแบบ Active Learning ได้สอดคล้องกับสิ่งที่นักการศึกษาทั่วโลก รวมถึงเครือข่ายองค์กรความร่วมมือเพื่อทักษะแห่งการเรียนรู้ในศตวรรษที่ 21 Partnership for 21st century skills (เครือข่าย P21) ได้ร่วมพัฒนาแนวทางยุทธศาสตร์การจัดการเรียนรู้ในศตวรรษที่ 21 ที่เน้นการสร้างรูปแบบการสอนรูปแบบใหม่ (New learning model) คือมุ่งให้ครูเปลี่ยนจากการสอนแบบดั้งเดิม (Traditional learning approach) มาเป็นการอำนวยการให้ผู้เรียนเกิดการเรียนรู้ พร้อมสู่การทำงานและการดำเนินชีวิตในศตวรรษที่ 21 อย่างไรก็ตามยังพบว่ามีครูที่ยังสอนแบบดั้งเดิมจำนวนมาก จึงควรจัดอบรมการสอนแบบ Active Learning ที่สนุก เข้าใจง่าย และใช้งานได้ทันที เพื่อให้ครูทุกคนทั่วประเทศได้มีโอกาสพัฒนาการเรียนการสอนของตนเองผ่านการเรียนผ่านโครงการ Thai MOOC ซึ่งจะช่วยพัฒนาการศึกษาของชาติได้เป็นอย่างดี,
31,ความหลากหลายในสถานที่ทำงาน | Diversity at workplace,มหาวิทยาลัยธรรมศาสตร์,['ทักษะชีวิตและการพัฒนาตนเอง'],,
32,พลเมืองดิจิทัล | Digital Citizenship,มหาวิทยาลัยศิลปากร,['สังคม การเมืองการปกครอง'],ความหมายและคุณลักษณะของพลเมืองดิจิทัล ความรู้เกี่ยวกับเทคโนโลยีสารสนเทศและสังคมดิจิทัล คุณลักษณะพลเมืองดิจิทัลที่ดี การประยุกต์ใช้เทคโนโลยีสารสนเทศและคอมพิวเตอร์ในด้านต่าง ๆ ความปลอดภัยบนอินเทอร์เน็ต ความเป็นส่วนตัวและความมั่นคงปลอดภัย ความสัมพันธ์และการสื่อสารในสังคมดิจิทัล การกลั่นแกล้งบนโลกออนไลน์ ร่องรอยดิจิทัลและชื่อเสียงบนโลกดิจิทัล อัตลักษณ์และตัวตน ความรู้ดิจิทัล กฏหมายและจริยธรรมสำหรับการใช้เทคโนโลยี การรู้เท่าทันสื่อในบริบทสังคมข้อมูลข่าวสารยุคดิจิทัล ผลกระทบจากสื่อ ทักษะและองค์ประกอบการวิเคราะห์สื่อเพื่อการรู้เท่าทัน หลักการรับและเข้าถึงข้อมูลข่าวสารจากสื่อทุกประเภทให้เกิดประโยชน์สูงสุด หลักการหลีกเลี่ยงสื่อที่ก่อโทษต่อตนและสังคมในรูปแบบต่าง ๆ การบูรณาการการเรียนรู้ ผ่านการจัดการเรียนการสอนแบบโครงการด้วยกิจกรรมสร้างสรรค์,
33,สตาร์ทอัพ มุ่งสู่ฝัน | Startup: Pushing your Dream,สำนักงานส่งเสริมเศรษฐกิจดิจิทัล,['ธุรกิจและการบริหารจัดการ'],สตาร์ทอัพมุ่งสู่ฝัน คือหลักสูตรพื้นฐานสตาร์ทอัพ ที่สอนการสร้างธุรกิจใหม่ในยุค Digital สำหรับสตาร์ทอัพ หรือผู้ประกอบการยุคใหม่ที่สนใจ โดยจะได้รู้จักและเรียนรู้วิธีคิดของสตาร์ทได้ง่ายและรวดเร็วยิ่งขึ้น เพื่อเป็นประโยชน์แก่กลุ่มเป้าหมาย เพื่อให้ประเทศไทยก้าวสู่การเป็นพลเมืองดิจิทัล,
34,นวัตกรรม และเทคโนโลยีสารสนเทศอุบัติใหม่ทางการศึกษา | Innovation and Emerging Information Technological Education,มหาวิทยาลัยขอนแก่น,['การศึกษาและการฝึกอบรม'],แนวคิดและหลักการเกี่ยวกับการจัดการเรียนรู้โดยใช้เทคโนโลยีส่งเสริมการเรียนรู้ แนวโน้มของนวัตกรรมและเทคโนโลยีสารสนเทศอุบัติใหม่ทางการศึกษา นวัตกรรมและเทคโนโลยีสารสนเทศอุบัติใหม่ทางการศึกษาสำหรับการบริหารจัดการเรียนรู้ การจัดกิจกรรมการเรียนรู้และการประเมินผลการเรียนรู้,
35,การออกแบบรายวิชา Thai MOOC | Instructional Design for Thai MOOC,โครงการมหาวิทยาลัยไซเบอร์ไทย,['การศึกษาและการฝึกอบรม'],"รายวิชา การออกแบบรายวิชา Thai MOOC
Instructional Design for Thai MOOC",
36,การผลิตสื่อโฆษณาที่ปลอดภัยและสร้างสรรค์ : ความคาดหวังของสังคมต่อโฆษณา | Ethical and Creative Online Advertising : Society's Expectation of Advertising,สมาคมโฆษณาแห่งประเทศไทย,['ธุรกิจและการบริหารจัดการ'],,
37,การผลิตสื่อออนไลน์คณิตศาสตร์สำหรับผู้บกพร่องทางการมองเห็น | Mathematics online media production for the visually impaired,กองทุนพัฒนาเทคโนโลยีเพื่อการศึกษา,['การศึกษาและการฝึกอบรม'],รายวิชานี้นำเสนอคุณลักษณะของสื่อออนไลน์คณิตศาสตร์ที่สนับสนุนการเรียนรู้ของผู้บกพร่องทางการมองเห็นและแนะนำวิธีการสร้างรวมถึงปรับปรุงสื่อออนไลน์คณิตศาสตร์ที่มีอยู่ให้สนับสนุนการเรียนรู้ของผู้เรียนพิเศษกลุ่มดังกล่าว,
38,การจัดการสื่อสารในภาวะวิกฤต (Crisis Communication),มหาวิทยาลัยรัตนบัณฑิต,['สังคม การเมืองการปกครอง'],ความหมายและความสำคัญของภาวะวิกฤตที่ส่งผลกระทบต่อองค์กร การสื่อสารความเสี่ยง การวางแผนการสื่อสารภาวะวิกฤต กลยุทธ์การสื่อสารและการตอบโต้ การนำเสนอข่าวในภาวะวิกฤต โดยการประยุกต์ทฤษฎีเกี่ยวกับการสื่อสารเพื่อการจัดการวางแผนจนถึงการปฏิบัติการในการจัดการภาวะวิกฤต,
39,การบัญชีเพื่อการจัดการและการจัดการทางการเงิน | Managerial Accounting and Financial Management,มหาวิทยาลัยสุโขทัยธรรมาธิราช,['ธุรกิจและการบริหารจัดการ'],"รายวิชา ""การบัญชีเพื่อการจัดการและการจัดการการเงิน"" จะช่วยให้ผู้เรียนเข้าใจถึงเรื่องราวต่าง ๆ ดังนี้
1) การใช้ข้อมูลทางการบัญชีเพื่อการจัดการ โดยเกี่ยวข้องกับหลักการทางการบัญชีและการนำไปประยุกต์ใช้เพื่อการวางแผน
2) การดำเนินงานและควบคุมการดำเนินธุรกิจ โดยใช้เทคนิคเชิงปริมาณรวมทั้งการวิเคราะห์ผลกระทบเชิงพฤติกรรม
3) การประยุกต์ใช้ตัวแบบทางการเงินที่ช่วยแก้ปัญหาต่างๆ ของธุรกิจเพื่อทำให้กิจการมีมูลค่าสูงสุด
4) การวิเคราะห์งบการเงิน การจัดการสินทรัพย์ การจัดหาเงินทุน รวมถึงบทบาทการจัดการการเงินต่าง ๆ ที่สำคัญตามสภาวะแวดล้อมของธุรกิจในระดับสากล",
40,การออกแบบโมเดลและงานพิมพ์ 3D เพื่อการบริการชุมชน | 3D Model design & printing for community service,มหาวิทยาลัยมหิดล,['วิศวกรรมและสถาปัตยกรรม'],"หลักการและทฤษฎีด้านการออกแบบ การเข้าใจมุมมอง 3 มิติ หลักการเขียนแบบ 3 มิติ โปรแกรมคอมพิวเตอร์ที่เกี่ยวข้องกับงานออกแบบโมเดล 3 มิติเพื่อสร้างชิ้นงาน โปรแกรมที่เป็น Freeware , License และความแตกต่างของความสามารถของโปรแกรมนั้นๆ หลักการและทฤษฎีด้านวัสดุสำหรับการพิมพ์ 3มิติ เส้น Filament ชนิดต่างและคุณสมบัติ ลำดับการออกแบบด้วยโปรแกรม ขั้นตอนการขึ้นรูปด้วยเทคนิคต่างๆ การใช้อุปกรณ์เครื่องมือวัดต่างๆ เช่น เวอร์เนีย เป็นต้น แนวคิดเกี่ยวกับการออกแบบชิ้นงานและตัวอย่างงานที่ไม่สามารถหาได้ในท้องตลาด หลักการออกแบบเกี่ยวกับทางกล การทดแรง การใช้เฟือง การออกแบบเฟืองทดแรงต่างๆ ข้อต่อ ข้อพับ สลัก โปรแกรมวิเคราะห์ความแข็งแรงของชิ้นงาน เทคนิคการพิมพ์โมเดล 3 มิติ การจัดวางชิ้นงานก่อนพิมพ์เพื่อให้ผลพิมพ์ออกมาดีที่สุด",
41,"การจัดสภาพแวดล้อมที่ดี ถูกสุขอนามัย ปลอดภัย และน่าอยู่ สำหรับผู้ดูแลผู้สูงอายุ | Environmental Friendliness in Hygiene, Safety, and Comfort for Elderly Caregivers",มหาวิทยาลัยสุโขทัยธรรมาธิราช,['สุขภาพและการแพทย์'],,
42,ภาษา Python สำหรับวิทยาการข้อมูล | Fundamental of Computer Programming with Python Language,มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,['คอมพิวเตอร์และเทคโนโลยี'],ความรู้เบื้องต้นเกี่ยวกับภาษาไพธอน เครื่องมือการพัฒนา การเขียนโปรแกรมด้วยคำสั่งควบคุมเบื้องต้น การสร้างฟังก์ชันเบื้องต้น ชนิดข้อมูลเฉพาะของภาษา การอ่านและเขียนไฟล์,
43,การเงินส่วนบุคคล รู้ก่อน ทำก่อน รวยกว่า : การวางแผนการเงิน,ตลาดหลักทรัพย์แห่งประเทศไทย,"['ธุรกิจและการบริหารจัดการ', 'ทักษะชีวิตและการพัฒนาตนเอง']",เรียนรู้เทคนิคและเครื่องมือในการวางแผนและบริหารจัดการเรื่องเงินแบบง่ายๆ รวมถึงข้อควรรู้สำคัญก่อนเริ่มลงทุน,
44,การคิดเชิงวิพากษ์และการจัดการปัญหา | Critical thinking and problem solving,สำนักงานคณะกรรมการข้าราชการพลเรือน,['ธุรกิจและการบริหารจัดการ'],,
45,วิทยาการข้อมูลเบื้องต้น | Fundamentals of Data Science,มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,['คอมพิวเตอร์และเทคโนโลยี'],แนวคิดพื้นฐานของวิทยาการข้อมูล การออกแบบการวิจัยด้านวิทยาการข้อมูล การรวบรวมข้อมูล การจัดหาข้อมูล การเตรียมข้อมูล การวิเคราะห์ข้อมูลออกแบบและสร้างรูปแบบการนำเสนอข้อมูลด้วยภาพและเสียงที่มีความสัมพันธ์กัน ทำการวิเคราะห์เพื่อนำไปสู่ผลลัพธ์,
46,การดูแลผู้ป่วยวาระสุดท้ายและครอบครัว | Caring for End of Life Patients and Their Families,มหาวิทยาลัยนเรศวร,['สุขภาพและการแพทย์'],การดูแลแบบประคับประคองผู้ป่วยวาระสุดท้ายและครอบครัว เพื่อให้ผู้ป่วยมีความทุกข์ทรมานลดลง มีความสุขสบายมากที่สุดเท่าที่จะสามารถมีได้ในช่วงสุดท้ายของโรค ลดความทุกข์ทรมานจากความปวด ครอบคลุมถึงจิตวิญญาณ และมีการตระหนักถึงการตายอย่างสมศักดิ์ศรีของความเป็นมนุษย์ รวมถึงการดูแลแบบประคับประคองสำหรับครอบครัวหลังจากผู้ป่วยเสียชีวิตแล้ว,
47,การตัดต่อวีดิทัศน์ดิจิทัลด้วยโปรแกรม Sony Vegas | Digital Video Editing with Sony Vegas,มหาวิทยาลัยราชภัฏสุราษฎร์ธานี,['คอมพิวเตอร์และเทคโนโลยี'],หลักการ ความหมาย บทบาทและประโยชน์ของการตัดต่อวีดิทัศน์ ชนิดของไฟล์ กระบวนการตัดต่อวีดิทัศน์ การเลือกใช้โปรแกรมและคุณสมบัติของเครื่องคอมพิวเตอร์ที่เหมาะสมกับงานการสร้างงานวีดิทัศน์ ศึกษาคำสั่ง เครื่องมือ การใช้งานเบื้องต้น การแก้ไขไฟล์ การเพิ่มเทคนิคและสีสันให้กับวีดิทัศน์ การซ้อนภาพวีดิทัศน์ การจัดทำข้อความประกอบในงานตัดต่อวีดิทัศน์ด้วยโปรแกรม Sony Vegas การใส่เสียงประกอบ ตลอดจนการนำไฟล์วีดิทัศน์ ไปใช้งานในรูปแบบต่าง ๆ,
